	rank	primes	flush
0	1	31367009	True
1	2	14535931	True
2	3	6678671	True
3	4	2800733	True
4	5	1062347	True
5	6	323323	True
6	7	85085	True
7	8	15015	True
8	9	2310	True
9	10	8610	True
10	11	104553157	False
11	12	87598591	False
12	13	81947069	False
13	14	64992503	False
14	15	53689459	False
15	16	48037937	False
16	17	36734893	False
17	18	31083371	False
18	19	19780327	False
19	20	14128805	False
20	21	8477283	False
21	22	5651522	False
22	23	76840601	False
23	24	58098991	False
24	25	54350669	False
25	26	43105703	False
26	27	35609059	False
27	28	31860737	False
28	29	24364093	False
29	30	20615771	False
30	31	13119127	False
31	32	9370805	False
32	33	5622483	False
33	34	3748322	False
34	35	37864361	False
35	36	34170277	False
36	37	26782109	False
37	38	21240983	False
38	39	17546899	False
39	40	15699857	False
40	41	12005773	False
41	42	10158731	False
42	43	6464647	False
43	44	4617605	False
44	45	2770563	False
45	46	1847042	False
46	47	28998521	False
47	48	26169397	False
48	49	21925711	False
49	50	16267463	False
50	51	13438339	False
51	52	12023777	False
52	53	9194653	False
53	54	7780091	False
54	55	4950967	False
55	56	3536405	False
56	57	2121843	False
57	58	1414562	False
58	59	11473481	False
59	60	10354117	False
60	61	8675071	False
61	62	8115389	False
62	63	5316979	False
63	64	4757297	False
64	65	3637933	False
65	66	3078251	False
66	67	1958887	False
67	68	1399205	False
68	69	839523	False
69	70	559682	False
70	71	5343161	False
71	72	4821877	False
72	73	4039951	False
73	74	3779309	False
74	75	2997383	False
75	76	2215457	False
76	77	1694173	False
77	78	1433531	False
78	79	912247	False
79	80	651605	False
80	81	390963	False
81	82	260642	False
82	83	3424361	False
83	84	3090277	False
84	85	2589151	False
85	86	2422109	False
86	87	1920983	False
87	88	1586899	False
88	89	1085773	False
89	90	918731	False
90	91	584647	False
91	92	417605	False
92	93	250563	False
93	94	167042	False
94	95	1171001	False
95	96	1056757	False
96	97	885391	False
97	98	828269	False
98	99	656903	False
99	100	542659	False
100	101	485537	False
101	102	314171	False
102	103	199927	False
103	104	142805	False
104	105	85683	False
105	106	57122	False
106	107	600281	False
107	108	541717	False
108	109	453871	False
109	110	424589	False
110	111	336743	False
111	112	278179	False
112	113	248897	False
113	114	190333	False
114	115	102487	False
115	116	73205	False
116	117	43923	False
117	118	29282	False
118	119	98441	False
119	120	88837	False
120	121	74431	False
121	122	69629	False
122	123	55223	False
123	124	45619	False
124	125	40817	False
125	126	31213	False
126	127	26411	False
127	128	12005	False
128	129	7203	False
129	130	4802	False
130	131	25625	False
131	132	23125	False
132	133	19375	False
133	134	18125	False
134	135	14375	False
135	136	11875	False
136	137	10625	False
137	138	8125	False
138	139	6875	False
139	140	4375	False
140	141	1875	False
141	142	1250	False
142	143	3321	False
143	144	2997	False
144	145	2511	False
145	146	2349	False
146	147	1863	False
147	148	1539	False
148	149	1377	False
149	150	1053	False
150	151	891	False
151	152	567	False
152	153	405	False
153	154	162	False
154	155	656	False
155	156	592	False
156	157	496	False
157	158	464	False
158	159	368	False
159	160	304	False
160	161	272	False
161	162	208	False
162	163	176	False
163	164	112	False
164	165	80	False
165	166	48	False
166	167	94352849	False
167	168	66233081	False
168	169	57962561	False
169	170	36459209	False
170	171	24880481	False
171	172	19918169	False
172	173	11647649	False
173	174	8339441	False
174	175	3377129	False
175	176	1723025	False
176	177	620289	False
177	178	275684	False
178	179	85147693	False
179	180	48677533	False
180	181	42599173	False
181	182	26795437	False
182	183	18285733	False
183	184	14638717	False
184	185	8560357	False
185	186	6129013	False
186	187	2481997	False
187	188	1266325	False
188	189	455877	False
189	190	202612	False
190	191	50078671	False
191	192	40783879	False
192	193	25054231	False
193	194	15759439	False
194	195	10754551	False
195	196	8609599	False
196	197	5034679	False
197	198	3604711	False
198	199	1459759	False
199	200	744775	False
200	201	268119	False
201	202	119164	False
202	203	40997909	False
203	204	33388541	False
204	205	23437829	False
205	206	12901781	False
206	207	8804429	False
207	208	7048421	False
208	209	4121741	False
209	210	2951069	False
210	211	1195061	False
211	212	609725	False
212	213	219501	False
213	214	97556	False
214	215	20452727	False
215	216	16656623	False
216	217	11692487	False
217	218	10232447	False
218	219	4392287	False
219	220	3516263	False
220	221	2056223	False
221	222	1472207	False
222	223	596183	False
223	224	304175	False
224	225	109503	False
225	226	48668	False
226	227	11529979	False
227	228	9389971	False
228	229	6591499	False
229	230	5768419	False
230	231	3628411	False
231	232	1982251	False
232	233	1159171	False
233	234	829939	False
234	235	336091	False
235	236	171475	False
236	237	61731	False
237	238	27436	False
238	239	8258753	False
239	240	6725897	False
240	241	4721393	False
241	242	4131833	False
242	243	2598977	False
243	244	1773593	False
244	245	830297	False
245	246	594473	False
246	247	240737	False
247	248	122825	False
248	249	44217	False
249	250	19652	False
250	251	3693157	False
251	252	3007693	False
252	253	2111317	False
253	254	1847677	False
254	255	1162213	False
255	256	793117	False
256	257	634933	False
257	258	265837	False
258	259	107653	False
259	260	54925	False
260	261	19773	False
261	262	8788	False
262	263	2237411	False
263	264	1822139	False
264	265	1279091	False
265	266	1119371	False
266	267	704099	False
267	268	480491	False
268	269	384659	False
269	270	224939	False
270	271	65219	False
271	272	33275	False
272	273	11979	False
273	274	5324	False
274	275	576583	False
275	276	469567	False
276	277	329623	False
277	278	288463	False
278	279	181447	False
279	280	123823	False
280	281	99127	False
281	282	57967	False
282	283	41503	False
283	284	8575	False
284	285	3087	False
285	286	1372	False
286	287	210125	False
287	288	171125	False
288	289	120125	False
289	290	105125	False
290	291	66125	False
291	292	45125	False
292	293	36125	False
293	294	21125	False
294	295	15125	False
295	296	6125	False
296	297	1125	False
297	298	500	False
298	299	45387	False
299	300	36963	False
300	301	25947	False
301	302	22707	False
302	303	14283	False
303	304	9747	False
304	305	7803	False
305	306	4563	False
306	307	3267	False
307	308	1323	False
308	309	675	False
309	310	108	False
310	311	13448	False
311	312	10952	False
312	313	7688	False
313	314	6728	False
314	315	4232	False
315	316	2888	False
316	317	2312	False
317	318	1352	False
318	319	968	False
319	320	392	False
320	321	200	False
321	322	72	False
322	323	25911877	True
323	324	23184311	True
324	325	17729179	True
325	326	15001613	True
326	327	9546481	True
327	328	6818915	True
328	329	4091349	True
329	330	2727566	True
330	331	20550799	True
331	332	18387557	True
332	333	14061073	True
333	334	11897831	True
334	335	7571347	True
335	336	5408105	True
336	337	3244863	True
337	338	2163242	True
338	339	15189721	True
339	340	11615669	True
340	341	9828643	True
341	342	6254591	True
342	343	4467565	True
343	344	2680539	True
344	345	1787026	True
345	346	10392967	True
346	347	8794049	True
347	348	5596213	True
348	349	3997295	True
349	350	2398377	True
350	351	1598918	True
351	352	6724861	True
352	353	4279457	True
353	354	3056755	True
354	355	1834053	True
355	356	1222702	True
356	357	3621079	True
357	358	2586485	True
358	359	1551891	True
359	360	1034594	True
360	361	1645945	True
361	362	987567	True
362	363	658378	True
363	364	705405	True
364	365	470270	True
365	366	282162	True
366	367	19224941	True
367	368	17201263	True
368	369	13153907	True
369	370	11130229	True
370	371	7082873	True
371	372	5059195	True
372	373	3035517	True
373	374	2023678	True
374	375	14209739	True
375	376	10866271	True
376	377	9194537	True
377	378	5851069	True
378	379	4179335	True
379	380	2507601	True
380	381	1671734	True
381	382	9722453	True
382	383	8226691	True
383	384	5235167	True
384	385	3739405	True
385	386	2243643	True
386	387	1495762	True
387	388	6290999	True
388	389	4003363	True
389	390	2859545	True
390	391	1715727	True
391	392	1143818	True
392	393	3387461	True
393	394	2419615	True
394	395	1451769	True
395	396	967846	True
396	397	1539755	True
397	398	923853	True
398	399	615902	True
399	400	659895	True
400	401	439930	True
401	402	263958	True
402	403	11269793	True
403	404	8618077	True
404	405	7292219	True
405	406	4640503	True
406	407	3314645	True
407	408	1988787	True
408	409	1325858	True
409	410	7710911	True
410	411	6524617	True
411	412	4152029	True
412	413	2965735	True
413	414	1779441	True
414	415	1186294	True
415	416	4989413	True
416	417	3175081	True
417	418	2267915	True
418	419	1360749	True
419	420	907166	True
420	421	2686607	True
421	422	1919005	True
422	423	1151403	True
423	424	767602	True
424	425	1221185	True
425	426	732711	True
426	427	488474	True
427	428	523365	True
428	429	348910	True
429	430	209346	True
430	431	6369883	True
431	432	5389901	True
432	433	3429937	True
433	434	2449955	True
434	435	1469973	True
435	436	979982	True
436	437	4121689	True
437	438	2622893	True
438	439	1873495	True
439	440	1124097	True
440	441	749398	True
441	442	2219371	True
442	443	1585265	True
443	444	951159	True
444	445	634106	True
445	446	1008805	True
446	447	605283	True
447	448	403522	True
448	449	432345	True
449	450	288230	True
450	451	172938	True
451	452	3687827	True
452	453	2346799	True
453	454	1676285	True
454	455	1005771	True
455	456	670514	True
456	457	1985753	True
457	458	1418395	True
458	459	851037	True
459	460	567358	True
460	461	902615	True
461	462	541569	True
462	463	361046	True
463	464	386835	True
464	465	257890	True
465	466	154734	True
466	467	1518517	True
467	468	1084655	True
468	469	650793	True
469	470	433862	True
470	471	690235	True
471	472	414141	True
472	473	276094	True
473	474	295815	True
474	475	197210	True
475	476	118326	True
476	477	584045	True
477	478	350427	True
478	479	233618	True
479	480	250305	True
480	481	166870	True
481	482	100122	True
482	483	159285	True
483	484	106190	True
484	485	63714	True
485	486	45510	True
486	487	16107383	True
487	488	14411869	True
488	489	11020841	True
489	490	9325327	True
