	rank	abbreviation	description	C1	C2	C3	C4	C5	hand	primes	flush
0	1	SF	Royal Flush	14	13	12	11	10	[14, 13, 12, 11, 10]	31367009	True
1	2	SF	King-High Straight Flush	13	12	11	10	9	[13, 12, 11, 10, 9]	14535931	True
2	3	SF	Queen-High Straight Flush	12	11	10	9	8	[12, 11, 10, 9, 8]	6678671	True
3	4	SF	Jack-High Straight Flush	11	10	9	8	7	[11, 10, 9, 8, 7]	2800733	True
4	5	SF	Ten-High Straight Flush	10	9	8	7	6	[10, 9, 8, 7, 6]	1062347	True
5	6	SF	Nine-High Straight Flush	9	8	7	6	5	[9, 8, 7, 6, 5]	323323	True
6	7	SF	Eight-High Straight Flush	8	7	6	5	4	[8, 7, 6, 5, 4]	85085	True
7	8	SF	Seven-High Straight Flush	7	6	5	4	3	[7, 6, 5, 4, 3]	15015	True
8	9	SF	Six-High Straight Flush	6	5	4	3	2	[6, 5, 4, 3, 2]	2310	True
9	10	SF	Five-High Straight Flush	5	4	3	2	14	[5, 4, 3, 2, 14]	8610	True
10	11	4K	Four Aces	14	14	14	14	13	[14, 14, 14, 14, 13]	104553157	False
11	12	4K	Four Aces	14	14	14	14	12	[14, 14, 14, 14, 12]	87598591	False
12	13	4K	Four Aces	14	14	14	14	11	[14, 14, 14, 14, 11]	81947069	False
13	14	4K	Four Aces	14	14	14	14	10	[14, 14, 14, 14, 10]	64992503	False
14	15	4K	Four Aces	14	14	14	14	9	[14, 14, 14, 14, 9]	53689459	False
15	16	4K	Four Aces	14	14	14	14	8	[14, 14, 14, 14, 8]	48037937	False
16	17	4K	Four Aces	14	14	14	14	7	[14, 14, 14, 14, 7]	36734893	False
17	18	4K	Four Aces	14	14	14	14	6	[14, 14, 14, 14, 6]	31083371	False
18	19	4K	Four Aces	14	14	14	14	5	[14, 14, 14, 14, 5]	19780327	False
19	20	4K	Four Aces	14	14	14	14	4	[14, 14, 14, 14, 4]	14128805	False
20	21	4K	Four Aces	14	14	14	14	3	[14, 14, 14, 14, 3]	8477283	False
21	22	4K	Four Aces	14	14	14	14	2	[14, 14, 14, 14, 2]	5651522	False
22	23	4K	Four Kings	13	13	13	13	14	[13, 13, 13, 13, 14]	76840601	False
23	24	4K	Four Kings	13	13	13	13	12	[13, 13, 13, 13, 12]	58098991	False
24	25	4K	Four Kings	13	13	13	13	11	[13, 13, 13, 13, 11]	54350669	False
25	26	4K	Four Kings	13	13	13	13	10	[13, 13, 13, 13, 10]	43105703	False
26	27	4K	Four Kings	13	13	13	13	9	[13, 13, 13, 13, 9]	35609059	False
27	28	4K	Four Kings	13	13	13	13	8	[13, 13, 13, 13, 8]	31860737	False
28	29	4K	Four Kings	13	13	13	13	7	[13, 13, 13, 13, 7]	24364093	False
29	30	4K	Four Kings	13	13	13	13	6	[13, 13, 13, 13, 6]	20615771	False
30	31	4K	Four Kings	13	13	13	13	5	[13, 13, 13, 13, 5]	13119127	False
31	32	4K	Four Kings	13	13	13	13	4	[13, 13, 13, 13, 4]	9370805	False
32	33	4K	Four Kings	13	13	13	13	3	[13, 13, 13, 13, 3]	5622483	False
33	34	4K	Four Kings	13	13	13	13	2	[13, 13, 13, 13, 2]	3748322	False
34	35	4K	Four Queens	12	12	12	12	14	[12, 12, 12, 12, 14]	37864361	False
35	36	4K	Four Queens	12	12	12	12	13	[12, 12, 12, 12, 13]	34170277	False
36	37	4K	Four Queens	12	12	12	12	11	[12, 12, 12, 12, 11]	26782109	False
37	38	4K	Four Queens	12	12	12	12	10	[12, 12, 12, 12, 10]	21240983	False
38	39	4K	Four Queens	12	12	12	12	9	[12, 12, 12, 12, 9]	17546899	False
39	40	4K	Four Queens	12	12	12	12	8	[12, 12, 12, 12, 8]	15699857	False
40	41	4K	Four Queens	12	12	12	12	7	[12, 12, 12, 12, 7]	12005773	False
