rank	hand	abbreviation	description
1	14 13 12 11 10	SF	Royal Flush
2	13 12 11 10 9	SF	King-High Straight Flush
3	12 11 10 9 8	SF	Queen-High Straight Flush
4	11 10 9 8 7	SF	Jack-High Straight Flush
5	10 9 8 7 6	SF	Ten-High Straight Flush
6	9 8 7 6 5	SF	Nine-High Straight Flush
7	8 7 6 5 4	SF	Eight-High Straight Flush
8	7 6 5 4 3	SF	Seven-High Straight Flush
9	6 5 4 3 2	SF	Six-High Straight Flush
10	5 4 3 2 14	SF	Five-High Straight Flush
11	14 14 14 14 13	4K	Four Aces
12	14 14 14 14 12	4K	Four Aces
13	14 14 14 14 11	4K	Four Aces
14	14 14 14 14 10	4K	Four Aces
15	14 14 14 14 9	4K	Four Aces
16	14 14 14 14 8	4K	Four Aces
17	14 14 14 14 7	4K	Four Aces
18	14 14 14 14 6	4K	Four Aces
19	14 14 14 14 5	4K	Four Aces
20	14 14 14 14 4	4K	Four Aces
21	14 14 14 14 3	4K	Four Aces
22	14 14 14 14 2	4K	Four Aces
23	13 13 13 13 14	4K	Four Kings
24	13 13 13 13 12	4K	Four Kings
25	13 13 13 13 11	4K	Four Kings
26	13 13 13 13 10	4K	Four Kings
27	13 13 13 13 9	4K	Four Kings
28	13 13 13 13 8	4K	Four Kings
29	13 13 13 13 7	4K	Four Kings
30	13 13 13 13 6	4K	Four Kings
31	13 13 13 13 5	4K	Four Kings
32	13 13 13 13 4	4K	Four Kings
33	13 13 13 13 3	4K	Four Kings
34	13 13 13 13 2	4K	Four Kings
35	12 12 12 12 14	4K	Four Queens
36	12 12 12 12 13	4K	Four Queens
37	12 12 12 12 11	4K	Four Queens
38	12 12 12 12 10	4K	Four Queens
39	12 12 12 12 9	4K	Four Queens
40	12 12 12 12 8	4K	Four Queens
41	12 12 12 12 7	4K	Four Queens
42	12 12 12 12 6	4K	Four Queens
43	12 12 12 12 5	4K	Four Queens
44	12 12 12 12 4	4K	Four Queens
45	12 12 12 12 3	4K	Four Queens
46	12 12 12 12 2	4K	Four Queens
47	11 11 11 11 14	4K	Four Jacks
48	11 11 11 11 13	4K	Four Jacks
49	11 11 11 11 12	4K	Four Jacks
50	11 11 11 11 10	4K	Four Jacks
51	11 11 11 11 9	4K	Four Jacks
52	11 11 11 11 8	4K	Four Jacks
53	11 11 11 11 7	4K	Four Jacks
54	11 11 11 11 6	4K	Four Jacks
55	11 11 11 11 5	4K	Four Jacks
56	11 11 11 11 4	4K	Four Jacks
57	11 11 11 11 3	4K	Four Jacks
58	11 11 11 11 2	4K	Four Jacks
59	10 10 10 10 14	4K	Four Tens
60	10 10 10 10 13	4K	Four Tens
61	10 10 10 10 12	4K	Four Tens
62	10 10 10 10 11	4K	Four Tens
63	10 10 10 10 9	4K	Four Tens
64	10 10 10 10 8	4K	Four Tens
65	10 10 10 10 7	4K	Four Tens
66	10 10 10 10 6	4K	Four Tens
67	10 10 10 10 5	4K	Four Tens
68	10 10 10 10 4	4K	Four Tens
69	10 10 10 10 3	4K	Four Tens
70	10 10 10 10 2	4K	Four Tens
71	9 9 9 9 14	4K	Four Nines
72	9 9 9 9 13	4K	Four Nines
73	9 9 9 9 12	4K	Four Nines
74	9 9 9 9 11	4K	Four Nines
75	9 9 9 9 10	4K	Four Nines
76	9 9 9 9 8	4K	Four Nines
77	9 9 9 9 7	4K	Four Nines
78	9 9 9 9 6	4K	Four Nines
79	9 9 9 9 5	4K	Four Nines
80	9 9 9 9 4	4K	Four Nines
81	9 9 9 9 3	4K	Four Nines
82	9 9 9 9 2	4K	Four Nines
83	8 8 8 8 14	4K	Four Eights
84	8 8 8 8 13	4K	Four Eights
85	8 8 8 8 12	4K	Four Eights
86	8 8 8 8 11	4K	Four Eights
87	8 8 8 8 10	4K	Four Eights
88	8 8 8 8 9	4K	Four Eights
89	8 8 8 8 7	4K	Four Eights
90	8 8 8 8 6	4K	Four Eights
91	8 8 8 8 5	4K	Four Eights
92	8 8 8 8 4	4K	Four Eights
93	8 8 8 8 3	4K	Four Eights
94	8 8 8 8 2	4K	Four Eights
95	7 7 7 7 14	4K	Four Sevens
96	7 7 7 7 13	4K	Four Sevens
97	7 7 7 7 12	4K	Four Sevens
98	7 7 7 7 11	4K	Four Sevens
99	7 7 7 7 10	4K	Four Sevens
100	7 7 7 7 9	4K	Four Sevens
101	7 7 7 7 8	4K	Four Sevens
102	7 7 7 7 6	4K	Four Sevens
103	7 7 7 7 5	4K	Four Sevens
104	7 7 7 7 4	4K	Four Sevens
105	7 7 7 7 3	4K	Four Sevens
106	7 7 7 7 2	4K	Four Sevens
107	6 6 6 6 14	4K	Four Sixes
108	6 6 6 6 13	4K	Four Sixes
109	6 6 6 6 12	4K	Four Sixes
110	6 6 6 6 11	4K	Four Sixes
111	6 6 6 6 10	4K	Four Sixes
112	6 6 6 6 9	4K	Four Sixes
113	6 6 6 6 8	4K	Four Sixes
114	6 6 6 6 7	4K	Four Sixes
115	6 6 6 6 5	4K	Four Sixes
116	6 6 6 6 4	4K	Four Sixes
117	6 6 6 6 3	4K	Four Sixes
118	6 6 6 6 2	4K	Four Sixes
119	5 5 5 5 14	4K	Four Fives
120	5 5 5 5 13	4K	Four Fives
121	5 5 5 5 12	4K	Four Fives
122	5 5 5 5 11	4K	Four Fives
123	5 5 5 5 10	4K	Four Fives
124	5 5 5 5 9	4K	Four Fives
125	5 5 5 5 8	4K	Four Fives
126	5 5 5 5 7	4K	Four Fives
127	5 5 5 5 6	4K	Four Fives
128	5 5 5 5 4	4K	Four Fives
129	5 5 5 5 3	4K	Four Fives
130	5 5 5 5 2	4K	Four Fives
131	4 4 4 4 14	4K	Four Fours
132	4 4 4 4 13	4K	Four Fours
133	4 4 4 4 12	4K	Four Fours
134	4 4 4 4 11	4K	Four Fours
135	4 4 4 4 10	4K	Four Fours
136	4 4 4 4 9	4K	Four Fours
137	4 4 4 4 8	4K	Four Fours
138	4 4 4 4 7	4K	Four Fours
139	4 4 4 4 6	4K	Four Fours
140	4 4 4 4 5	4K	Four Fours
141	4 4 4 4 3	4K	Four Fours
142	4 4 4 4 2	4K	Four Fours
143	3 3 3 3 14	4K	Four Treys
144	3 3 3 3 13	4K	Four Treys
145	3 3 3 3 12	4K	Four Treys
146	3 3 3 3 11	4K	Four Treys
147	3 3 3 3 10	4K	Four Treys
148	3 3 3 3 9	4K	Four Treys
149	3 3 3 3 8	4K	Four Treys
150	3 3 3 3 7	4K	Four Treys
151	3 3 3 3 6	4K	Four Treys
152	3 3 3 3 5	4K	Four Treys
153	3 3 3 3 4	4K	Four Treys
154	3 3 3 3 2	4K	Four Treys
155	2 2 2 2 14	4K	Four Deuces
156	2 2 2 2 13	4K	Four Deuces
157	2 2 2 2 12	4K	Four Deuces
158	2 2 2 2 11	4K	Four Deuces
159	2 2 2 2 10	4K	Four Deuces
160	2 2 2 2 9	4K	Four Deuces
161	2 2 2 2 8	4K	Four Deuces
162	2 2 2 2 7	4K	Four Deuces
163	2 2 2 2 6	4K	Four Deuces
164	2 2 2 2 5	4K	Four Deuces
165	2 2 2 2 4	4K	Four Deuces
166	2 2 2 2 3	4K	Four Deuces
167	14 14 14 13 13	FH	Aces Full over Kings
168	14 14 14 12 12	FH	Aces Full over Queens
169	14 14 14 11 11	FH	Aces Full over Jacks
170	14 14 14 10 10	FH	Aces Full over Tens
171	14 14 14 9 9	FH	Aces Full over Nines
172	14 14 14 8 8	FH	Aces Full over Eights
173	14 14 14 7 7	FH	Aces Full over Sevens
174	14 14 14 6 6	FH	Aces Full over Sixes
175	14 14 14 5 5	FH	Aces Full over Fives
176	14 14 14 4 4	FH	Aces Full over Fours
177	14 14 14 3 3	FH	Aces Full over Treys
178	14 14 14 2 2	FH	Aces Full over Deuces
179	13 13 13 14 14	FH	Kings Full over Aces
180	13 13 13 12 12	FH	Kings Full over Queens
181	13 13 13 11 11	FH	Kings Full over Jacks
182	13 13 13 10 10	FH	Kings Full over Tens
183	13 13 13 9 9	FH	Kings Full over Nines
184	13 13 13 8 8	FH	Kings Full over Eights
185	13 13 13 7 7	FH	Kings Full over Sevens
186	13 13 13 6 6	FH	Kings Full over Sixes
187	13 13 13 5 5	FH	Kings Full over Fives
188	13 13 13 4 4	FH	Kings Full over Fours
189	13 13 13 3 3	FH	Kings Full over Treys
190	13 13 13 2 2	FH	Kings Full over Deuces
191	12 12 12 14 14	FH	Queens Full over Aces
192	12 12 12 13 13	FH	Queens Full over Kings
193	12 12 12 11 11	FH	Queens Full over Jacks
194	12 12 12 10 10	FH	Queens Full over Tens
195	12 12 12 9 9	FH	Queens Full over Nines
196	12 12 12 8 8	FH	Queens Full over Eights
197	12 12 12 7 7	FH	Queens Full over Sevens
198	12 12 12 6 6	FH	Queens Full over Sixes
199	12 12 12 5 5	FH	Queens Full over Fives
200	12 12 12 4 4	FH	Queens Full over Fours
201	12 12 12 3 3	FH	Queens Full over Treys
202	12 12 12 2 2	FH	Queens Full over Deuces
203	11 11 11 14 14	FH	Jacks Full over Aces
204	11 11 11 13 13	FH	Jacks Full over Kings
205	11 11 11 12 12	FH	Jacks Full over Queens
206	11 11 11 10 10	FH	Jacks Full over Tens
207	11 11 11 9 9	FH	Jacks Full over Nines
208	11 11 11 8 8	FH	Jacks Full over Eights
209	11 11 11 7 7	FH	Jacks Full over Sevens
210	11 11 11 6 6	FH	Jacks Full over Sixes
211	11 11 11 5 5	FH	Jacks Full over Fives
212	11 11 11 4 4	FH	Jacks Full over Fours
213	11 11 11 3 3	FH	Jacks Full over Treys
214	11 11 11 2 2	FH	Jacks Full over Deuces
215	10 10 10 14 14	FH	Tens Full over Aces
216	10 10 10 13 13	FH	Tens Full over Kings
217	10 10 10 12 12	FH	Tens Full over Queens
218	10 10 10 11 11	FH	Tens Full over Jacks
219	10 10 10 9 9	FH	Tens Full over Nines
220	10 10 10 8 8	FH	Tens Full over Eights
221	10 10 10 7 7	FH	Tens Full over Sevens
222	10 10 10 6 6	FH	Tens Full over Sixes
223	10 10 10 5 5	FH	Tens Full over Fives
224	10 10 10 4 4	FH	Tens Full over Fours
225	10 10 10 3 3	FH	Tens Full over Treys
226	10 10 10 2 2	FH	Tens Full over Deuces
227	9 9 9 14 14	FH	Nines Full over Aces
228	9 9 9 13 13	FH	Nines Full over Kings
229	9 9 9 12 12	FH	Nines Full over Queens
230	9 9 9 11 11	FH	Nines Full over Jacks
231	9 9 9 10 10	FH	Nines Full over Tens
232	9 9 9 8 8	FH	Nines Full over Eights
233	9 9 9 7 7	FH	Nines Full over Sevens
234	9 9 9 6 6	FH	Nines Full over Sixes
235	9 9 9 5 5	FH	Nines Full over Fives
236	9 9 9 4 4	FH	Nines Full over Fours
237	9 9 9 3 3	FH	Nines Full over Treys
238	9 9 9 2 2	FH	Nines Full over Deuces
